Name,Z,POINT_X,POINT_Y,NEAR_DIST,Long,Lat,Distance
KapoyaArroket,1692,731973.94,9931050.93,5461.343549,35.08435092,-0.623388138,0
KapoyaArroket,1692,731971.44,9931048.43,5457.808015,35.08432847,-0.62341075,3.535533906
KapoyaArroket,1692,731968.94,9931045.93,5454.272482,35.08430603,-0.623433362,7.071067814
KapoyaArroket,1692.0108,731966.44,9931043.93,5451.070919,35.08428358,-0.623451454,10.27262993
KapoyaArroket,1692.6642,731963.94,9931041.93,5447.869357,35.08426114,-0.623469545,13.47419205
KapoyaArroket,1692.04,731961.44,9931040.68,5445.074272,35.08423869,-0.623480856,16.26927702
KapoyaArroket,1692,731958.94,9931039.43,5442.279187,35.08421624,-0.623492166,19.064362
KapoyaArroket,1692,731956.815,9931037.305,5439.273984,35.08419716,-0.623511387,22.06956581
KapoyaArroket,1692,731954.69,9931035.18,5436.26878,35.08417808,-0.623530607,25.07476963
KapoyaArroket,1692,731951.8775,9931031.524,5431.655937,35.08415284,-0.623563674,29.68761261
KapoyaArroket,1692,731949.065,9931027.867,5427.043094,35.08412759,-0.623596742,34.30045558
KapoyaArroket,1692.001659,731946.2525,9931024.211,5422.430251,35.08410234,-0.623629809,38.91329856
KapoyaArroket,1692.96,731943.44,9931020.555,5417.817408,35.0840771,-0.623662876,43.52614153
KapoyaArroket,1692,731940.6275,9931016.899,5413.204565,35.08405185,-0.623695943,48.13898451
KapoyaArroket,1692.0425,731937.815,9931013.243,5408.591722,35.0840266,-0.623729011,52.75182748
KapoyaArroket,1692,731935.0025,9931009.586,5403.978879,35.08400136,-0.623762078,57.36467046
KapoyaArroket,1692,731932.19,9931005.93,5399.366036,35.08397611,-0.623795145,61.97751343
KapoyaArroket,1692,731929.3567,9931002.847,5395.178588,35.08395067,-0.623823033,66.16496161
KapoyaArroket,1692,731926.5233,9930999.763,5390.99114,35.08392524,-0.62385092,70.35240978
KapoyaArroket,1692,731923.69,9930996.68,5386.803691,35.0838998,-0.623878807,74.53985796
KapoyaArroket,1693,731921.315,9930994.68,5383.698756,35.08387848,-0.623896898,77.64479355
KapoyaArroket,1692,731918.94,9930992.68,5380.59382,35.08385715,-0.62391499,80.74972914
KapoyaArroket,1692,731916.44,9930990.93,5377.542181,35.08383471,-0.623930821,83.80136804
KapoyaArroket,1693,731913.94,9930989.18,5374.490542,35.08381226,-0.623946652,86.85300694
KapoyaArroket,1693,731911.44,9930987.18,5371.28898,35.08378981,-0.623964743,90.05456906
KapoyaArroket,1693,731908.94,9930985.18,5368.087418,35.08376737,-0.623982835,93.25613118
KapoyaArroket,1694,731906.565,9930982.93,5364.815855,35.08374605,-0.624003186,96.52769426
KapoyaArroket,1694,731904.19,9930980.68,5361.544292,35.08372472,-0.624023538,99.79925734
KapoyaArroket,1694,731901.94,9930978.305,5358.272729,35.08370452,-0.624045019,103.0708204
KapoyaArroket,1694,731899.69,9930975.93,5355.001166,35.08368432,-0.6240665,106.3423835
KapoyaArroket,1693.81295,731897.69,9930973.555,5351.89623,35.08366637,-0.62408798,109.4473191
KapoyaArroket,1693.6958,731895.69,9930971.18,5348.791295,35.08364842,-0.62410946,112.5522547
KapoyaArroket,1694,731893.19,9930968.347,5345.0127,35.08362597,-0.624135086,116.3308494
KapoyaArroket,1695,731890.69,9930965.513,5341.234105,35.08360353,-0.624160712,120.109444
KapoyaArroket,1695,731888.19,9930962.68,5337.455511,35.08358109,-0.624186338,123.8880387
KapoyaArroket,1695,731885.94,9930961.055,5334.68006,35.08356088,-0.624201038,126.6634891
KapoyaArroket,1695.71,731883.69,9930959.43,5331.90461,35.08354068,-0.624215738,129.4389396
KapoyaArroket,1696.9692,731880.44,9930957.43,5328.088525,35.0835115,-0.624233833,133.2550239
KapoyaArroket,1696.1817,731877.19,9930955.43,5324.272441,35.08348232,-0.624251927,137.0711083
KapoyaArroket,1695,731873.94,9930953.43,5320.456357,35.08345314,-0.624270021,140.8871927
KapoyaArroket,1695,731871.44,9930952.68,5317.84628,35.08343069,-0.624276811,143.4972693
KapoyaArroket,1696,731868.94,9930951.93,5315.236203,35.08340823,-0.624283601,146.107346
KapoyaArroket,1696,731865.6067,9930951.597,5311.886245,35.0833783,-0.624286627,149.4573045
KapoyaArroket,1696,731862.2733,9930951.263,5308.536286,35.08334836,-0.624289652,152.807263
KapoyaArroket,1696,731858.94,9930950.93,5305.186328,35.08331843,-0.624292678,156.1572216
KapoyaArroket,1696,731854.94,9930951.13,5301.181331,35.0832825,-0.624290884,160.1622185
KapoyaArroket,1696,731850.94,9930951.33,5297.176334,35.08324657,-0.62428909,164.1672153
KapoyaArroket,1696,731846.94,9930951.53,5293.171337,35.08321065,-0.624287296,168.1722122
KapoyaArroket,1696,731842.94,9930951.73,5289.16634,35.08317472,-0.624285502,172.1772091
KapoyaArroket,1696,731838.94,9930951.93,5285.161343,35.0831388,-0.624283708,176.182206
KapoyaArroket,1696,731836.44,9930952.805,5282.512641,35.08311634,-0.624275806,178.8309085
KapoyaArroket,1696,731833.94,9930953.68,5279.863938,35.08309388,-0.624267904,181.479611
KapoyaArroket,1696,731831.44,9930955.305,5276.882223,35.08307142,-0.624253221,184.4613261
KapoyaArroket,1697,731828.94,9930956.93,5273.900508,35.08304896,-0.624238538,187.4430412
KapoyaArroket,1697,731825.19,9930959.742,5269.213008,35.08301527,-0.624213123,192.1305412
KapoyaArroket,1697.6192,731821.44,9930962.555,5264.525508,35.08298159,-0.624187707,196.8180412
KapoyaArroket,1697,731817.69,9930965.367,5259.838008,35.0829479,-0.624162292,201.5055412
KapoyaArroket,1696,731813.94,9930968.18,5255.150508,35.08291421,-0.624136877,206.1930412
KapoyaArroket,1696,731811.44,9930969.055,5252.501806,35.08289175,-0.624128975,208.8417437
KapoyaArroket,1696,731808.94,9930969.93,5249.853103,35.08286929,-0.624121073,211.4904462
KapoyaArroket,1696,731806.44,9930970.18,5247.340634,35.08284684,-0.624118821,214.0029151
KapoyaArroket,1697,731803.94,9930970.43,5244.828165,35.08282438,-0.62411657,216.5153841
KapoyaArroket,1697,731801.44,9930970.305,5242.325042,35.08280193,-0.624117709,219.0185071
KapoyaArroket,1697.46,731798.94,9930970.18,5239.821919,35.08277948,-0.624118848,221.5216302
KapoyaArroket,1698,731796.44,9930969.555,5237.244978,35.08275703,-0.624124508,224.0985712
KapoyaArroket,1698.1242,731793.94,9930968.93,5234.668037,35.08273458,-0.624130168,226.6755122
KapoyaArroket,1699,731790.6067,9930967.513,5231.046152,35.08270464,-0.624142988,230.2973978
KapoyaArroket,1699,731787.2733,9930966.097,5227.424266,35.08267471,-0.624155809,233.9192835
KapoyaArroket,1699,731783.94,9930964.68,5223.80238,35.08264478,-0.624168629,237.5411691
KapoyaArroket,1699,731780.6067,9930962.763,5219.95729,35.08261485,-0.62418597,241.3862598
KapoyaArroket,1698.873333,731777.2733,9930960.847,5216.112199,35.08258492,-0.624203311,245.2313504
KapoyaArroket,1697.1458,731773.94,9930958.93,5212.267108,35.08255499,-0.624220652,249.0764411
KapoyaArroket,1697.009133,731770.8567,9930956.18,5208.13559,35.0825273,-0.624245527,253.2079595
KapoyaArroket,1697.287467,731767.7733,9930953.43,5204.004071,35.08249962,-0.624270401,257.3394779
KapoyaArroket,1697,731764.69,9930950.68,5199.872553,35.08247194,-0.624295276,261.4709963
KapoyaArroket,1697.96955,731762.69,9930948.305,5196.767617,35.08245398,-0.624316756,264.5759319
KapoyaArroket,1698.0783,731760.69,9930945.93,5193.662682,35.08243603,-0.624338236,267.6808675
KapoyaArroket,1698.9167,731758.19,9930942.597,5189.496015,35.08241359,-0.624368383,271.8475342
KapoyaArroket,1699,731755.69,9930939.263,5185.329348,35.08239115,-0.62439853,276.0142008
KapoyaArroket,1699,731753.19,9930935.93,5181.162682,35.08236871,-0.624428676,280.1808675
KapoyaArroket,1698.949756,731750.2733,9930932.597,5176.733454,35.08234252,-0.624458824,284.6100949
KapoyaArroket,1697.997256,731747.3567,9930929.263,5172.304227,35.08231634,-0.624488972,289.0393224
KapoyaArroket,1698.0108,731744.44,9930925.93,5167.875,35.08229016,-0.62451912,293.4685498
KapoyaArroket,1697.123333,731741.5233,9930922.597,5163.445772,35.08226397,-0.624549268,297.8977772
KapoyaArroket,1697.193578,731738.6067,9930919.263,5159.016545,35.08223779,-0.624579417,302.3270046
KapoyaArroket,1698,731735.69,9930915.93,5154.587317,35.0822116,-0.624609565,306.756232
KapoyaArroket,1698,731733.1275,9930912.18,5150.045412,35.0821886,-0.624643479,311.2981376
KapoyaArroket,1698,731730.565,9930908.43,5145.503506,35.0821656,-0.624677393,315.8400432
KapoyaArroket,1697.52,731728.0025,9930904.68,5140.961601,35.0821426,-0.624711307,320.3819488
KapoyaArroket,1699,731725.44,9930900.93,5136.419695,35.0821196,-0.624745221,324.9238543
KapoyaArroket,1699.77,731723.94,9930898.43,5133.504219,35.08210614,-0.624767829,327.8393303
KapoyaArroket,1700,731722.44,9930895.93,5130.588743,35.08209267,-0.624790438,330.7548062
KapoyaArroket,1700,731720.19,9930892.597,5126.5671,35.08207248,-0.624820584,334.7764491
KapoyaArroket,1700,731717.94,9930889.263,5122.545457,35.08205228,-0.624850729,338.7980919
KapoyaArroket,1700,731715.69,9930885.93,5118.523815,35.08203209,-0.624880875,342.8197348
KapoyaArroket,1700,731714.44,9930883.43,5115.72873,35.08202087,-0.624903483,345.6148197
KapoyaArroket,1700,731713.19,9930880.93,5112.933645,35.08200965,-0.62492609,348.4099047
KapoyaArroket,1700.7858,731711.94,9930877.597,5109.373643,35.08199843,-0.624956233,351.9699063
KapoyaArroket,1700,731710.69,9930874.263,5105.813642,35.08198722,-0.624986375,355.5299078
KapoyaArroket,1700,731709.44,9930870.93,5102.25364,35.08197601,-0.625016517,359.0899094
KapoyaArroket,1700,731708.94,9930868.43,5099.70413,35.08197152,-0.625039122,361.6394191
KapoyaArroket,1700,731708.44,9930865.93,5097.15462,35.08196704,-0.625061727,364.1889289
KapoyaArroket,1699.86545,731707.815,9930863.43,5094.577679,35.08196144,-0.625084332,366.7658699
KapoyaArroket,1700,731707.19,9930860.93,5092.000738,35.08195583,-0.625106938,369.3428109
KapoyaArroket,1700,731706.315,9930858.43,5089.352036,35.08194798,-0.625129544,371.9915134
KapoyaArroket,1699.0292,731705.44,9930855.93,5086.703333,35.08194013,-0.62515215,374.6402159
KapoyaArroket,1699,731704.565,9930853.43,5084.054631,35.08193228,-0.625174757,377.2889185
KapoyaArroket,1699,731703.69,9930850.93,5081.405928,35.08192443,-0.625197363,379.937621
KapoyaArroket,1700.64295,731702.565,9930848.43,5078.664464,35.08191434,-0.62521997,382.679085
KapoyaArroket,1701.96,731701.44,9930845.93,5075.923,35.08190424,-0.625242578,385.420549
KapoyaArroket,1702.762533,731698.8567,9930842.68,5071.771361,35.08188105,-0.625271971,389.5721886
KapoyaArroket,1703.029133,731696.2733,9930839.43,5067.619721,35.08185786,-0.625301365,393.7238282
KapoyaArroket,1703,731693.69,9930836.18,5063.468082,35.08183467,-0.625330758,397.8754677
KapoyaArroket,1703.2208,731690.44,9930833.43,5059.210735,35.08180549,-0.625355633,402.1328143
KapoyaArroket,1702.5892,731687.19,9930830.68,5054.953388,35.08177631,-0.625380509,406.3901609
KapoyaArroket,1702,731683.94,9930827.93,5050.696042,35.08174714,-0.625405384,410.6475075
KapoyaArroket,1702,731680.6067,9930826.263,5046.969262,35.0817172,-0.625420464,414.3742875
KapoyaArroket,1702,731677.2733,9930824.597,5043.242482,35.08168727,-0.625435545,418.1010674
